Source,Target,Type,Weight
270,692,directed,1
271,692,directed,1
272,692,directed,1
273,692,directed,1
274,692,directed,1
275,692,directed,1
276,692,directed,1
277,692,directed,1
278,692,directed,1
279,692,directed,1
280,692,directed,1
281,692,directed,1
282,692,directed,1
283,692,directed,1
284,692,directed,1
285,692,directed,1
286,692,directed,1
287,692,directed,1
288,692,directed,1
289,692,directed,1
290,692,directed,1
291,692,directed,1
304,692,directed,1
292,689,directed,1
293,689,directed,1
294,689,directed,1
295,689,directed,1
296,689,directed,1
297,689,directed,1
298,689,directed,1
299,689,directed,1
300,689,directed,1
302,689,directed,1
303,692,directed,1
293,695,directed,1
240,695,directed,1
302,695,directed,1
306,700,directed,1
307,700,directed,1
308,700,directed,1
309,700,directed,1
310,700,directed,1
311,700,directed,1
312,700,directed,1
313,700,directed,1
314,700,directed,1
315,700,directed,1
316,700,directed,1
317,700,directed,1
318,700,directed,1
319,700,directed,1
320,700,directed,1
323,700,directed,1
305,700,directed,1
13,700,directed,1
25,700,directed,1
34,700,directed,1
56,700,directed,1
71,700,directed,1
156,700,directed,1
135,700,directed,1
13,704,directed,1
25,704,directed,1
34,704,directed,1
56,704,directed,1
71,704,directed,1
156,704,directed,1
135,704,directed,1
324,704,directed,1
325,704,directed,1
326,704,directed,1
327,704,directed,1
328,704,directed,1
329,704,directed,1
330,704,directed,1
331,704,directed,1
332,704,directed,1
333,704,directed,1
334,704,directed,1
335,704,directed,1
336,704,directed,1
337,704,directed,1
338,704,directed,1
339,704,directed,1
340,704,directed,1
341,704,directed,1
342,704,directed,1
343,704,directed,1
344,704,directed,1
345,704,directed,1
346,704,directed,1
347,704,directed,1
348,704,directed,1
349,704,directed,1
350,704,directed,1
351,704,directed,1
352,704,directed,1
353,704,directed,1
354,704,directed,1
355,704,directed,1
356,704,directed,1
357,704,directed,1
358,704,directed,1
359,704,directed,1
360,704,directed,1
361,704,directed,1
363,704,directed,1
364,704,directed,1
365,704,directed,1
366,704,directed,1
367,704,directed,1
364,706,directed,1
365,706,directed,1
13,706,directed,1
25,706,directed,1
34,706,directed,1
56,706,directed,1
71,706,directed,1
156,706,directed,1
135,706,directed,1
324,706,directed,1
325,706,directed,1
326,706,directed,1
327,706,directed,1
328,706,directed,1
330,706,directed,1
331,706,directed,1
333,706,directed,1
334,706,directed,1
335,706,directed,1
336,706,directed,1
339,706,directed,1
340,706,directed,1
342,706,directed,1
343,706,directed,1
344,706,directed,1
345,706,directed,1
347,706,directed,1
348,706,directed,1
349,706,directed,1
350,706,directed,1
351,706,directed,1
352,706,directed,1
356,706,directed,1
358,706,directed,1
362,706,directed,1
357,706,directed,1
368,706,directed,1
369,706,directed,1
370,706,directed,1
371,706,directed,1
372,706,directed,1
373,706,directed,1
374,706,directed,1
375,706,directed,1
376,706,directed,1
324,706,directed,1
325,706,directed,1
326,706,directed,1
327,706,directed,1
377,708,directed,1
378,708,directed,1
379,708,directed,1
380,708,directed,1
381,708,directed,1
382,708,directed,1
383,708,directed,1
384,708,directed,1
385,708,directed,1
386,708,directed,1
387,708,directed,1
388,708,directed,1
389,708,directed,1
390,708,directed,1
391,708,directed,1
392,708,directed,1
393,708,directed,1
394,706,directed,1
395,706,directed,1
396,706,directed,1
397,706,directed,1
398,706,directed,1
399,706,directed,1
400,706,directed,1
401,706,directed,1
402,706,directed,1
403,706,directed,1
404,706,directed,1
405,706,directed,1
406,706,directed,1
407,706,directed,1
408,706,directed,1
410,706,directed,1
407,704,directed,1
408,704,directed,1
410,712,directed,1
324,705,directed,1
325,705,directed,1
326,705,directed,1
327,705,directed,1
329,705,directed,1
356,705,directed,1
13,705,directed,1
25,705,directed,1
34,705,directed,1
56,705,directed,1
71,705,directed,1
156,705,directed,1
135,705,directed,1
350,705,directed,1
333,705,directed,1
334,705,directed,1
336,705,directed,1
101,704,directed,1
20,704,directed,1
23,704,directed,1
305,704,directed,1
100,704,directed,1
305,706,directed,1
324,703,directed,1
325,703,directed,1
326,703,directed,1
327,703,directed,1
13,703,directed,1
25,703,directed,1
34,703,directed,1
56,703,directed,1
71,703,directed,1
156,703,directed,1
135,703,directed,1
267,702,directed,1
193,702,directed,1
162,710,directed,1
231,710,directed,1
236,710,directed,1
252,710,directed,1
226,710,directed,1
225,710,directed,1
221,710,directed,1
135,708,directed,1
305,708,directed,1
393,675,directed,1
305,675,directed,1
488,675,directed,1
394,675,directed,1
395,675,directed,1
396,675,directed,1
397,675,directed,1
398,675,directed,1
399,675,directed,1
400,675,directed,1
401,675,directed,1
402,675,directed,1
403,675,directed,1
404,675,directed,1
405,675,directed,1
406,675,directed,1
407,675,directed,1
408,675,directed,1
409,675,directed,1
410,675,directed,1
409,675,directed,1
393,675,directed,1
256,675,directed,1
101,675,directed,1
20,675,directed,1
23,675,directed,1
388,675,directed,1
192,675,directed,1
58,675,directed,1
68,675,directed,1
258,675,directed,1
402,675,directed,1
301,675,directed,1
254,675,directed,1
398,675,directed,1
598,675,directed,1
594,675,directed,1
109,675,directed,1
648,675,directed,1
651,675,directed,1
615,675,directed,1
559,675,directed,1
560,675,directed,1
537,675,directed,1
543,675,directed,1
524,675,directed,1
489,675,directed,1
455,675,directed,1
258,675,directed,1
13,713,directed,1
25,713,directed,1
34,713,directed,1
56,713,directed,1
71,713,directed,1
156,713,directed,1
135,713,directed,1
412,713,directed,1
350,713,directed,1
446,713,directed,1
447,713,directed,1
413,714,directed,1
414,714,directed,1
415,714,directed,1
416,714,directed,1
417,714,directed,1
418,714,directed,1
419,714,directed,1
420,714,directed,1
421,714,directed,1
422,714,directed,1
423,714,directed,1
424,714,directed,1
425,714,directed,1
426,714,directed,1
427,714,directed,1
428,714,directed,1
429,714,directed,1
430,714,directed,1
431,714,directed,1
432,714,directed,1
433,714,directed,1
434,714,directed,1
435,714,directed,1
436,714,directed,1
437,714,directed,1
438,714,directed,1
439,714,directed,1
440,714,directed,1
441,714,directed,1
13,714,directed,1
25,714,directed,1
34,714,directed,1
56,714,directed,1
71,714,directed,1
156,714,directed,1
135,714,directed,1
412,714,directed,1
350,714,directed,1
242,714,directed,1
328,717,directed,1
330,717,directed,1
331,717,directed,1
340,717,directed,1
335,717,directed,1
368,717,directed,1
369,717,directed,1
368,717,directed,1
25,718,directed,1
34,718,directed,1
56,718,directed,1
71,718,directed,1
156,718,directed,1
135,718,directed,1
13,718,directed,1
350,718,directed,1
412,718,directed,1
449,718,directed,1
202,718,directed,1
201,718,directed,1
448,718,directed,1
85,718,directed,1
242,718,directed,1
488,718,directed,1
455,718,directed,1
492,718,directed,1
490,718,directed,1
467,718,directed,1
458,718,directed,1
470,718,directed,1
452,718,directed,1
473,718,directed,1
45,718,directed,1
471,718,directed,1
450,718,directed,1
451,718,directed,1
453,718,directed,1
454,718,directed,1
456,718,directed,1
457,718,directed,1
459,718,directed,1
460,718,directed,1
461,718,directed,1
462,718,directed,1
463,718,directed,1
464,718,directed,1
465,718,directed,1
466,718,directed,1
468,718,directed,1
469,718,directed,1
472,718,directed,1
473,718,directed,1
474,718,directed,1
475,718,directed,1
476,718,directed,1
477,718,directed,1
478,718,directed,1
479,718,directed,1
480,718,directed,1
481,718,directed,1
482,718,directed,1
483,718,directed,1
484,718,directed,1
485,718,directed,1
486,718,directed,1
487,718,directed,1
491,718,directed,1
489,685,directed,1
256,685,directed,1
488,685,directed,1
493,720,directed,1
494,720,directed,1
495,720,directed,1
496,720,directed,1
497,720,directed,1
498,720,directed,1
499,720,directed,1
500,720,directed,1
501,720,directed,1
502,720,directed,1
503,720,directed,1
504,720,directed,1
505,720,directed,1
506,720,directed,1
507,720,directed,1
508,720,directed,1
509,720,directed,1
510,720,directed,1
511,720,directed,1
512,720,directed,1
513,720,directed,1
514,720,directed,1
13,720,directed,1
525,732,directed,1
526,732,directed,1
527,732,directed,1
528,732,directed,1
529,732,directed,1
530,732,directed,1
531,732,directed,1
532,732,directed,1
533,732,directed,1
534,732,directed,1
535,732,directed,1
536,732,directed,1
537,732,directed,1
538,732,directed,1
539,732,directed,1
540,732,directed,1
541,732,directed,1
542,732,directed,1
544,732,directed,1
545,732,directed,1
546,732,directed,1
547,732,directed,1
548,732,directed,1
549,732,directed,1
550,732,directed,1
551,732,directed,1
552,732,directed,1
553,732,directed,1
554,732,directed,1
555,732,directed,1
556,732,directed,1
558,732,directed,1
543,732,directed,1
399,732,directed,1
162,732,directed,1
231,732,directed,1
236,732,directed,1
252,732,directed,1
226,732,directed,1
225,732,directed,1
221,732,directed,1
139,732,directed,1
36,732,directed,1
145,732,directed,1
142,732,directed,1
176,732,directed,1
628,732,directed,1
629,732,directed,1
630,732,directed,1
631,732,directed,1
506,732,directed,1
513,732,directed,1
400,732,directed,1
543,732,directed,1
562,718,directed,1
328,721,directed,1
330,721,directed,1
331,721,directed,1
340,721,directed,1
335,721,directed,1
368,721,directed,1
369,721,directed,1
368,721,directed,1
517,722,directed,1
34,722,directed,1
520,723,directed,1
71,723,directed,1
552,723,directed,1
546,723,directed,1
523,724,directed,1
156,724,directed,1
56,725,directed,1
521,725,directed,1
135,729,directed,1
557,729,directed,1
412,730,directed,1
522,730,directed,1
616,730,directed,1
25,731,directed,1
413,731,directed,1
79,731,directed,1
519,715,directed,1
350,715,directed,1
518,715,directed,1
162,733,directed,1
5,733,directed,1
561,733,directed,1
101,733,directed,1
162,675,directed,1
231,675,directed,1
236,675,directed,1
252,675,directed,1
226,675,directed,1
225,675,directed,1
221,675,directed,1
556,675,directed,1
139,675,directed,1
36,675,directed,1
145,675,directed,1
142,675,directed,1
176,675,directed,1
628,675,directed,1
629,675,directed,1
630,675,directed,1
631,675,directed,1
506,675,directed,1
513,675,directed,1
633,675,directed,1
255,675,directed,1
63,675,directed,1
17,675,directed,1
15,675,directed,1
14,675,directed,1
2,675,directed,1
3,675,directed,1
8,675,directed,1
9,675,directed,1
11,675,directed,1
242,675,directed,1
243,675,directed,1
79,675,directed,1
532,675,directed,1
547,675,directed,1
